[0]     ItemNum                 !ERROR! 7       item: ItemName                        ("name 'NoMatchError' is not defined",)
[1]     *crv 36 pk              !ERROR! 10      item: CRV $1.80                       ("name 'NoMatchError' is not defined",)
[2]     *crv05                  !ERROR! 6       item: CRV 5 cents                     ("name 'NoMatchError' is not defined",)
[3]     *crv1.75                !ERROR! 8       item: CRV $1.75                       ('EAN code can only contain numbers.',)
[4]     *crv10                  !ERROR! 6       item: CRV 10 cents                    ("name 'NoMatchError' is not defined",)
[5]     *crv100                 !ERROR! 7       item: CRV 1.00 cents                  ("name 'NoMatchError' is not defined",)
[6]     *crv120                 !ERROR! 7       item: CRV 1.20 cents                  ("name 'NoMatchError' is not defined",)
[7]     *crv150                 !ERROR! 7       item: CRV 1.50 cents                  ("name 'NoMatchError' is not defined",)
[8]     *crv20                  !ERROR! 6       item: CRV 20 cents                    ("name 'NoMatchError' is not defined",)
[9]     *crv200                 !ERROR! 7       item: CRV 2.00                        ("name 'NoMatchError' is not defined",)
[10]    *crv30                  !ERROR! 6       item: CRV 30 cents                    ("name 'NoMatchError' is not defined",)
[11]    *crv40                  !ERROR! 6       item: CRV 40 cents                    ("name 'NoMatchError' is not defined",)
[12]    *crv45                  !ERROR! 6       item: CRV 45 cents                    ("name 'NoMatchError' is not defined",)
[13]    *crv60                  !ERROR! 6       item: CRV 60 cents                    ("name 'NoMatchError' is not defined",)
[14]    *crv75                  !ERROR! 6       item: CRV 75 cents                    ("name 'NoMatchError' is not defined",)
[15]    *crv90                  !ERROR! 6       item: CRV 90 cents                    ("name 'NoMatchError' is not defined",)
[16]    00665322                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[17]    008660007322            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[18]    00866149                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[19]    00866246                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[20]    00866440                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[21]    00898627001414          ean: ean14      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[22]    009300000307            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[23]    009800001088            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[24]    009800007608            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[25]    009800007615            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[26]    009800007639            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[27]    009800007677            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[28]    009800123018            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[29]    009800800056            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[30]    00982237                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[31]    00985234                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[32]    00985535                ean: ean8       location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
[33]    010700021526            ean: ean12      location: /Users/Smashez/Documents/GitHub/Python-Practice/Projects/UPC_Maker/Barcodes                    
